video_id,generator,mllm,batch_date,verdict,confidence,1.1_texture__detected,1.1_texture__severity,1.1_texture__evidence,1.2_boundary__detected,1.2_boundary__severity,1.2_boundary__evidence,1.3_lighting__detected,1.3_lighting__severity,1.3_lighting__evidence,1.4_watermark__detected,1.4_watermark__severity,1.4_watermark__evidence,2.1_human_anatomy__detected,2.1_human_anatomy__severity,2.1_human_anatomy__evidence,2.2_non_human_anatomy__detected,2.2_non_human_anatomy__severity,2.2_non_human_anatomy__evidence,2.3_object_structural__detected,2.3_object_structural__severity,2.3_object_structural__evidence,2.4_scene_composition__detected,2.4_scene_composition__severity,2.4_scene_composition__evidence,3.1_motion__detected,3.1_motion__severity,3.1_motion__evidence,3.2_identity_drift__detected,3.2_identity_drift__severity,3.2_identity_drift__evidence,3.3_continuity__detected,3.3_continuity__severity,3.3_continuity__evidence,3.4_causality__detected,3.4_causality__severity,3.4_causality__evidence,most_diagnostic_artefact,notes,review_flag
w2_001_ltx_20260719_105436,LTX,Qwen_3.5,2026-08-01,AI-generated,95,TRUE,M,"0:00-0:02, skin on face and neck appears overly smooth and waxy, lacking natural pores or fine detail.",TRUE,M,"0:01, hair edges blend softly into the background foliage without clear separation, creating a halo effect.",FALSE,none,Lighting appears consistent with outdoor daylight; no obvious directional errors.,FALSE,none,No visible watermarks or generator logos; minor compression noise present but not indicative of synthesis.,TRUE,H,"0:01-0:02, facial features morph significantly between frames; jawline and nose shape change unnaturally during head movement.",FALSE,none,no non-human subjects present,FALSE,none,Clothing and background objects maintain structural integrity; no distorted mechanics or text.,FALSE,none,Spatial arrangement of trees and bushes is plausible; perspective remains consistent.,TRUE,M,"0:01, head rotation causes unnatural warping of facial structure rather than rigid motion.",TRUE,H,"0:00 to 0:02, subject's face changes shape and expression in ways inconsistent with natural muscle movement; smile becomes distorted.",TRUE,M,"0:01, background foliage shifts slightly out of sync with foreground subject motion, suggesting frame interpolation artifacts.",FALSE,none,No physics violations observed; motion follows expected cause-effect relationships.,Severe facial morphing and identity drift between frames (0:00-0:02) indicating synthetic generation.,Multiple high-severity temporal and anatomical artifacts strongly suggest AI video synthesis despite realistic initial appearance.,
w2_002_ltx_20260719_105611,LTX,Qwen_3.5,2026-08-01,Real,92,FALSE,none,"Skin texture shows natural pores, wrinkles, and specular highlights consistent with real human skin; no waxy or plastic appearance observed.",FALSE,none,Object edges are sharp where in focus and naturally blurred by depth-of-field where out of focus; no haloing or bleeding artifacts.,FALSE,none,Lighting is consistent with indoor ambient sources and window light; shadows fall naturally on the subject's face and clothing.,FALSE,none,"No visible watermarks, logos, or synthetic noise patterns detected in the pixel data.",FALSE,none,"Facial features, including eyes, teeth, and ears, maintain correct anatomical proportions and movement throughout the clip.",FALSE,none,No non-human subjects present.,FALSE,none,"Background objects (chairs, lamps, windows) maintain rigid structure and correct perspective; no morphing or distortion.",FALSE,none,Spatial arrangement of the restaurant interior is logical and physically possible.,FALSE,none,Subject movement and camera shake exhibit natural inertia and optical flow; no jitter or sliding artifacts.,FALSE,none,"Subject's identity, clothing pattern, and hair remain consistent across all frames.",FALSE,none,No objects appear or disappear spontaneously; background elements remain stable relative to camera movement.,FALSE,none,Physical interactions and movements obey standard laws of physics and causality.,no strong artefacts observed,"The video exhibits natural motion blur, consistent lighting, and realistic human micro-expressions typical of handheld camera footage.",
w2_003_ltx_20260719_105639,LTX,Qwen_3.5,2026-08-01,Real,92,FALSE,none,Skin texture shows natural pore detail and micro-variations consistent with real camera capture; no waxy or plastic appearance.,FALSE,none,Edges of the glasses and face are sharp and well-defined against the background; no haloing or dissolution observed.,FALSE,none,Lighting is consistent with natural outdoor conditions; reflections in the glasses match the environment.,FALSE,none,"No visible watermarks, logos, or synthetic noise patterns detected in the frame.",FALSE,none,"Facial features including eyes, nose, and eyebrows are anatomically correct and stable.",FALSE,none,no non-human subjects present,FALSE,none,Glasses maintain correct structural integrity and perspective throughout the clip.,FALSE,none,Spatial arrangement of the subject and background is physically plausible with correct depth of field.,FALSE,none,Subtle head movements and eye shifts are smooth and natural; no jitter or sliding observed.,FALSE,none,Subject's facial features and clothing remain consistent across all frames.,FALSE,none,No objects appear or disappear; lighting and background remain continuous.,FALSE,none,No physics violations or impossible cause-effect relationships observed.,no strong artefacts observed,The video exhibits high-fidelity optical characteristics such as natural depth of field and organic micro-movements that are typical of real camera footage.,
w2_004_ltx_20260719_105708,LTX,Qwen_3.5,2026-08-01,Real,85,FALSE,none,Texture is consistent with frosted glass and natural skin; no waxy or plastic artifacts observed.,FALSE,none,"Soft edges are physically consistent with viewing through a frosted medium, not algorithmic blurring.",FALSE,none,"Lighting is dim and diffuse, consistent with the environment; no impossible shadows or reflections.",FALSE,none,"No visible watermarks, logos, or synthetic noise patterns detected.",FALSE,none,Facial features are obscured by the glass but show no signs of morphing or structural impossibility.,FALSE,none,no non-human subjects present,FALSE,none,No mechanical objects or text present to evaluate for structural defects.,FALSE,none,Spatial arrangement is simple and physically plausible.,FALSE,none,Motion is smooth and consistent with a person leaning in; no jitter or sliding.,FALSE,none,Subject identity remains stable throughout the short clip.,FALSE,none,No objects appear or disappear; lighting remains consistent.,FALSE,none,No physics violations observed.,no strong artefacts observed,"The visual softness and lack of detail are fully explained by the frosted glass foreground element, a common cinematic technique, rather than generative failure.",
w2_005_ltx_20260719_105736,LTX,Qwen_3.5,2026-08-01,AI-generated,85,TRUE,M,"At 0:01, the skin on the hand appears overly smooth and waxy, lacking natural pores or fine detail, particularly on the knuckles.",TRUE,H,"At 0:00 and 0:02, the fingers holding the spoon merge into each other and the spoon handle, with no clear separation between digits or object edges.",FALSE,none,Lighting appears consistent with an outdoor setting; no obvious directional conflicts observed.,FALSE,none,"No visible watermarks, logos, or overlay text indicating generator origin.",TRUE,H,"At 0:00, the hand holding the spoon shows fused fingers and an impossible grip structure where the thumb and index finger appear to melt together.",FALSE,none,no non-human subjects present,TRUE,M,"At 0:01, the spoon bowl appears to distort and change shape slightly as it enters the mouth, lacking rigid structural integrity.",FALSE,none,Background blur is consistent with depth of field; no impossible spatial arrangements detected.,TRUE,M,"At 0:01-0:02, the motion of the spoon into the mouth is slightly jerky and non-linear, suggesting frame interpolation artifacts.",FALSE,none,Facial features and clothing remain consistent across frames; no morphing observed.,FALSE,none,No objects appear or disappear unexpectedly; lighting remains stable throughout the short clip.,FALSE,none,No violations of physics or causality observed in the eating action.,Severe hand anatomy defects with fused fingers and impossible grip structure visible at 0:00.,The hand-spoon interaction exhibits multiple high-severity structural failures typical of current text-to-video models struggling with fine motor actions.,
w2_006_ltx_20260719_105804,LTX,Qwen_3.5,2026-08-01,Real,85,FALSE,none,Skin texture and fabric weave appear natural with appropriate noise and detail.,FALSE,none,Object edges are sharp and consistent with optical depth of field; no haloing or bleeding observed.,FALSE,none,Lighting is consistent with a warm indoor source; shadows fall naturally under the hands and laptop.,FALSE,none,"No visible watermarks, logos, or synthetic noise patterns detected.",FALSE,none,Hands display correct finger count and joint articulation; no merging or distortion visible.,FALSE,none,no non-human subjects present,FALSE,none,Laptop keyboard layout and screen bezel appear structurally sound and realistic.,FALSE,none,"Spatial arrangement of laptop, hands, and background objects follows logical perspective.",FALSE,none,Typing motion is fluid and physically plausible; no jitter or sliding observed.,FALSE,none,Hand appearance and clothing remain consistent throughout the clip.,FALSE,none,No objects appear or disappear; background remains stable.,FALSE,none,Physical interactions between fingers and keys obey standard mechanics.,no strong artefacts observed,"The video exhibits natural camera noise, consistent lighting, and physically accurate hand movements typical of real footage.",
w2_007_ltx_20260719_105832,LTX,Qwen_3.5,2026-08-01,AI-generated,95,TRUE,M,"At 0:01, the liquid surface lacks fine specular highlights and appears overly smooth and plastic-like compared to real coffee foam.",TRUE,H,"At 0:01-0:02, the boundary between the pouring stream and the receiving cup dissolves into a blurry, merged mass rather than distinct fluid dynamics.",FALSE,none,"Lighting appears consistent with a kitchen environment, though shadows are soft.",FALSE,none,No visible watermarks or logos present.,TRUE,H,"At 0:01-0:02, the hand holding the pitcher exhibits severe structural failure; fingers appear to merge into the glass handle and the wrist joint bends at an impossible angle.",FALSE,none,No non-human subjects present.,TRUE,H,"At 0:02, the glass pitcher being poured from loses its structural integrity, appearing to melt or warp into the stream of liquid, defying rigid object physics.",FALSE,none,Scene layout is standard for a kitchen counter.,TRUE,H,"At 0:01-0:02, the motion of the liquid is non-physical; the stream does not flow naturally but rather smears and morphs into the cup contents.",TRUE,M,"At 0:02, the shape of the pouring vessel changes mid-action, shifting from a defined pitcher shape to an amorphous blob.",TRUE,H,"At 0:02, the liquid levels and container shapes change abruptly without continuous flow, indicating a failure in temporal consistency.",TRUE,H,"At 0:02, the cause-effect relationship of pouring is violated as the liquid stream and the container merge into a single solid mass rather than maintaining separate fluid and container states.","The hand and pitcher merge into a single melting mass at 0:02, violating rigid body physics and anatomical structure.","The video exhibits classic generative AI failures in fluid dynamics and object permanence, particularly where the hand interacts with the glass object.",
w2_008_ltx_20260719_105901,LTX,Qwen_3.5,2026-08-01,Real,85,FALSE,none,Skin texture and fabric weave on the sleeve appear natural with appropriate noise and detail.,FALSE,none,Object edges are sharp where in focus and naturally blurred by depth of field where out of focus; no haloing or bleeding.,FALSE,none,"Lighting is consistent with an outdoor environment, casting natural shadows on the hands and tree bark.",FALSE,none,"No visible watermarks, logos, or synthetic noise patterns detected.",FALSE,none,"Hand structure, finger count, and joint movement appear anatomically correct and natural.",FALSE,none,No non-human subjects present.,FALSE,none,The rope and tree bark maintain consistent structural integrity and scale.,FALSE,none,"Spatial arrangement of hands, rope, and tree is physically plausible.",FALSE,none,"Motion of the hands tying the knot is fluid, with correct physics and no jitter.",FALSE,none,"No changes in clothing pattern, skin tone, or object identity across frames.",FALSE,none,The action of tying the knot proceeds continuously without objects appearing or disappearing.,FALSE,none,Physical interaction between hands and rope follows standard cause-and-effect physics.,no strong artefacts observed,"The video exhibits natural depth of field, realistic lighting, and fluid motion characteristic of real camera footage.",
w2_009_ltx_20260719_105929,LTX,Qwen_3.5,2026-08-01,Real,85,FALSE,none,no texture defects; natural film grain and depth of field blur observed,FALSE,none,"boundaries consistent with optical defocus, no AI haloing or edge dissolution",FALSE,none,"lighting is consistent with a single indoor source, shadows behave naturally",FALSE,none,"no watermarks, logos, or synthetic noise patterns visible",FALSE,none,hand structure and grip on pen appear anatomically correct despite motion blur,FALSE,none,no non-human subjects present,FALSE,none,"notebook and pen maintain structural integrity, no warping or gibberish text",FALSE,none,"spatial arrangement of hand, pen, and book is physically plausible",FALSE,none,"motion blur is consistent with camera shutter speed, no jitter or sliding",FALSE,none,objects maintain consistent identity and appearance throughout the clip,FALSE,none,"no objects appear or disappear unexpectedly, lighting remains stable",FALSE,none,physics of writing and hand movement are natural and causal,no strong artefacts observed,"The video exhibits characteristics of real optical footage, including natural depth of field and motion blur, with no signs of generative synthesis.",
w2_010_ltx_20260719_105957,LTX,Qwen_3.5,2026-08-01,Real,92,FALSE,none,Skin texture and paper fibers appear natural with appropriate detail; no waxy or plastic look observed.,FALSE,none,Object edges are sharp and consistent with optical focus; no haloing or bleeding detected.,FALSE,none,Shadows cast by hands and paper are consistent with a single overhead light source; reflections on the table are physically accurate.,FALSE,none,"No visible watermarks, logos, or synthetic noise patterns detected in the pixel data.",FALSE,none,"Hand structure, finger count, and joint movements are anatomically correct throughout the manipulation of the paper.",FALSE,none,No non-human subjects present.,FALSE,none,Paper folds and crumples according to physical laws; no distortion or impossible topology observed.,FALSE,none,"Spatial arrangement of hands, paper, and table is consistent and logical.",FALSE,none,Motion blur is consistent with camera shutter speed and object velocity; no jitter or sliding artifacts.,FALSE,none,The paper and hands maintain consistent appearance and identity across all frames.,FALSE,none,No objects appear or disappear unexpectedly; lighting remains stable.,FALSE,none,Physical interactions between hands and paper follow standard cause-and-effect physics.,no strong artefacts observed,The video displays natural motion blur and consistent lighting physics typical of real-world camera capture.,
