video_id,generator,mllm,batch_date,verdict,confidence,1.1_texture__detected,1.1_texture__severity,1.1_texture__evidence,1.2_boundary__detected,1.2_boundary__severity,1.2_boundary__evidence,1.3_lighting__detected,1.3_lighting__severity,1.3_lighting__evidence,1.4_watermark__detected,1.4_watermark__severity,1.4_watermark__evidence,2.1_human_anatomy__detected,2.1_human_anatomy__severity,2.1_human_anatomy__evidence,2.2_non_human_anatomy__detected,2.2_non_human_anatomy__severity,2.2_non_human_anatomy__evidence,2.3_object_structural__detected,2.3_object_structural__severity,2.3_object_structural__evidence,2.4_scene_composition__detected,2.4_scene_composition__severity,2.4_scene_composition__evidence,3.1_motion__detected,3.1_motion__severity,3.1_motion__evidence,3.2_identity_drift__detected,3.2_identity_drift__severity,3.2_identity_drift__evidence,3.3_continuity__detected,3.3_continuity__severity,3.3_continuity__evidence,3.4_causality__detected,3.4_causality__severity,3.4_causality__evidence,most_diagnostic_artefact,notes,review_flag
w2_001_ltx_20260719_105436,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,70,TRUE,M,0:00 on face skin lacks detail.,TRUE,M,0:01 around hair soft edges.,FALSE,none,Lighting appears consistent.,TRUE,M,0:00 top-left distorted logo.,TRUE,M,0:01 in mouth teeth lack separation.,FALSE,none,No non-human subjects present.,FALSE,none,No distinct mechanical objects.,FALSE,none,Scene composition is standard.,TRUE,M,0:01 on head floaty movement.,TRUE,M,0:01 on right shoulder strap morphs.,FALSE,none,No major continuity breaks.,FALSE,none,No physics violations observed.,Shoulder strap morphing into fabric.,Video exhibits typical generative morphing.,
w2_002_ltx_20260719_105611,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,70,TRUE,M,0:00 center face skin waxy.,TRUE,M,0:01 center head edges soft.,FALSE,none,no lighting issues.,FALSE,none,no watermark.,TRUE,M,0:01 center teeth jumbled.,FALSE,none,no non-human subjects present.,TRUE,M,0:00 left background chairs melted.,TRUE,M,0:02 right background layout illogical.,TRUE,M,0:01 center head motion non-rigid.,TRUE,M,0:01 center face wrinkles morph.,TRUE,M,0:02 left background shifts.,FALSE,none,no physics issues.,Teeth and facial features morphing.,Background objects lack coherent structure.,
w2_003_ltx_20260719_105639,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,70,TRUE,M,0:01 center face skin appears waxy.,TRUE,M,0:00 top left glasses frame blends into skin.,FALSE,none,Lighting appears consistent.,FALSE,none,No watermark seen.,TRUE,M,0:01 right eye pupil slightly distorted.,FALSE,none,No non-human subjects present.,TRUE,M,0:02 center glasses bridge slightly asymmetrical.,FALSE,none,Composition is standard.,FALSE,none,Motion is minimal.,TRUE,M,0:01 right lens reflection shifts unnaturally.,FALSE,none,No continuity errors.,FALSE,none,No physics violations.,Glasses frame blending into skin and unnatural lens reflections.,Video shows subtle AI markers in texture and reflections.,
w2_004_ltx_20260719_105708,LTX,Gemini_3.1_Pro,2026-07-29,Real,35,FALSE,none,natural textures,FALSE,none,normal optical blur,FALSE,none,consistent lighting,FALSE,none,no watermarks,FALSE,none,normal face,FALSE,none,no non-human subjects present,FALSE,none,normal structures,FALSE,none,standard composition,FALSE,none,smooth focus,FALSE,none,consistent identity,FALSE,none,no errors,FALSE,none,normal physics,no strong artefacts observed,Standard camera shot with rack focus.,
w2_005_ltx_20260719_105736,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,75,TRUE,M,0:01 center face waxy.,TRUE,M,0:00 bottom-left spoon merges.,FALSE,none,no lighting errors.,FALSE,none,no watermark.,TRUE,M,0:00 bottom-left hand blob.,FALSE,none,no non-human subjects present.,TRUE,M,0:02 bottom-left spoon bends.,FALSE,none,standard composition.,TRUE,M,0:01 bottom-left spoon non-rigid.,TRUE,M,0:02 bottom-left red blob.,FALSE,none,no continuity errors.,FALSE,none,no physics errors.,Hand and spoon merge into a morphing blob.,Severe anatomical and structural morphing.,
w2_006_ltx_20260719_105804,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,75,TRUE,L,0:01 smooth skin texture on hands in center.,TRUE,L,0:01 soft edges around fingers in center.,FALSE,none,lighting appears consistent.,FALSE,none,no watermark visible.,TRUE,M,0:01 right hand fingers lack joints in center-right.,FALSE,none,no non-human subjects present.,TRUE,M,0:00 keyboard keys are warped in lower-right.,FALSE,none,scene arrangement is standard.,TRUE,M,0:01 fingers glide without pressing keys in center.,TRUE,M,0:02 keyboard keys shift shape in lower-right.,FALSE,none,no major continuity errors.,TRUE,M,0:01 typing causes no screen change in upper-right.,Keyboard keys are warped and shift shape.,Fingers lack joints and glide over keys.,
w2_007_ltx_20260719_105832,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,70,TRUE,M,0:01 top right waxy hand texture,TRUE,M,0:01 center edges of cup and pitcher blur,TRUE,M,0:00 center inconsistent glass reflections,FALSE,none,no watermark visible,TRUE,M,0:01 top right hand lacks defined joints,FALSE,none,no non-human subjects present,TRUE,M,0:01 center cup topology is impossible,TRUE,M,0:01 center spatial arrangement of pour fails,TRUE,M,0:01 center pitcher melts during motion,TRUE,M,0:02 center pitcher changes shape entirely,TRUE,M,0:02 center pitcher merges into cup,TRUE,M,0:01 center solid objects phase through each other,Pitcher and cup merge during pour.,Multiple structural failures observed.,
w2_008_ltx_20260719_105901,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,70,TRUE,M,"0:01 center, rope texture shifts to fur.",TRUE,M,"0:01 center, fingers bleed into rope.",FALSE,none,No obvious lighting errors.,FALSE,none,No watermark visible.,TRUE,M,"0:02 center, fingers merge into mass.",FALSE,none,No non-human subjects present.,TRUE,M,"0:01 center, rope topology distorts.",FALSE,none,Scene arrangement is plausible.,TRUE,M,"0:01 center, non-rigid finger motion.",TRUE,M,"0:02 center, rope becomes furry.",TRUE,M,"0:01 center, object state shifts.",TRUE,M,"0:01 center, fingers phase through rope.",Fingers merge into a shapeless mass while the rope changes texture.,Severe anatomical and object drift observed.,
w2_009_ltx_20260719_105929,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,75,TRUE,L,"0:00 bottom-right, notebook cover pattern is slightly irregular.",TRUE,M,"0:01 center, boundary between pen and fingers dissolves.",FALSE,none,Lighting appears consistent.,FALSE,none,No watermark visible.,TRUE,M,"0:01 center, fingers fuse and lack joints.",FALSE,none,No non-human subjects present.,TRUE,M,"0:02 center, pen structure is impossible and text is gibberish.",FALSE,none,Scene composition is standard.,FALSE,none,Motion appears generally rigid.,TRUE,M,"0:01 center, pen changes shape across frames.",TRUE,M,"0:02 center, pen disappears during motion.",FALSE,none,No obvious physics violations.,The pen morphs and fuses into the hand while writing gibberish text.,Multiple structural and temporal artifacts present.,
w2_010_ltx_20260719_105957,LTX,Gemini_3.1_Pro,2026-07-29,AI-generated,75,TRUE,M,0:01 center: skin lacks texture.,TRUE,M,0:02 center: fingers blend into paper.,TRUE,M,0:01 bottom: shadows mismatch hand position.,FALSE,none,no watermark visible.,TRUE,M,0:02 center: fingers melt and bend impossibly.,FALSE,none,no non-human subjects present.,TRUE,M,0:01 center: card topology distorts.,TRUE,M,0:02 center: spatial relations of hands fail.,TRUE,M,0:01 center: rigid card bends like liquid.,TRUE,M,0:01 center: paper becomes playing card.,TRUE,M,0:02 center: object shifts shape mid-motion.,TRUE,M,0:02 center: matter passes through itself.,Hands and objects melt together.,Severe morphing observed.,
